Geno	Binary_class	Full_class
CMBF-28-1	North	farNorth
CMBF-28-2	North	farNorth
CMBF-28-3	North	farNorth
CMBF-28-4	North	farNorth
CNYH-28-2	North	farNorth
CNYH-28-3	North	farNorth
CNYH-28-4	North	farNorth
CNYH-28-5	North	farNorth
FNYI-28-1	North	farNorth
FNYI-28-2	North	farNorth
FNYI-28-3	North	farNorth
FNYI-28-4	North	farNorth
FNYI-28-5	North	farNorth
SLMB-28-1	North	farNorth
SLMB-28-2	North	farNorth
SLMB-28-3	North	farNorth
SLMB-28-4	North	farNorth
SLMC-28-1	North	farNorth
SLMC-28-2	North	farNorth
SLMC-28-3	North	farNorth
SLMD-28-1	North	farNorth
SLMD-28-3	North	farNorth
SLMD-28-4	North	farNorth
WHTE-28-1	North	farNorth
WHTE-28-2	North	farNorth
WHTE-28-3	North	farNorth
WHTE-28-4	North	farNorth
CHWH-27-1	North	farNorth
CHWH-27-2	North	farNorth
CHWH-27-3	North	farNorth
CHWH-27-4	North	farNorth
CHWH-27-5	North	farNorth
CHWI-27-4	North	farNorth
CHWJ-27-1	North	farNorth
CHWJ-27-2	North	farNorth
CHWK-27-2	North	farNorth
CHWK-27-3	North	farNorth
HOPF-27-1	North	farNorth
HOPF-27-3	North	farNorth
HOPF-27-5	North	farNorth
HOPG-27-1	North	farNorth
HOPG-27-3	North	farNorth
HOPG-27-5	North	farNorth
HRSO-27-1	North	farNorth
HRSO-27-2	North	farNorth
HRSO-27-4	North	farNorth
HRSO-27-5	North	farNorth
HRSP-27-1	North	farNorth
HRSP-27-4	North	farNorth
HRSP-27-5	North	farNorth
MCMN-27-2	North	farNorth
MCMN-27-3	North	farNorth
MCMN-27-4	North	farNorth
MCMN-27-5	North	farNorth
MTSM-27-1	North	farNorth
MTSM-27-3	North	farNorth
NHTA-27-2	North	farNorth
NHTA-27-3	North	farNorth
NHTA-27-4	North	farNorth
NHTA-27-5	North	farNorth
NHTB-27-1	North	farNorth
NHTB-27-3	North	farNorth
NHTB-27-4	North	farNorth
VNDL-27-1	North	farNorth
VNDL-27-3	North	farNorth
VNDL-27-4	North	farNorth
VNDL-27-5	North	farNorth
WELC-27-1	North	farNorth
WELC-27-2	North	farNorth
WELC-27-3	North	farNorth
WELC-27-4	North	farNorth
WELC-27-5	North	farNorth
YALD-27-2	North	farNorth
YALD-27-5	North	farNorth
YALE-27-1	North	farNorth
YALE-27-2	North	farNorth
YALE-27-3	North	farNorth
YALE-27-4	North	farNorth
BLCG-28-1	North	farNorth
BLCG-28-3	North	farNorth
BESC-55	North	Columbia
BESC-58	North	Columbia
BESC-59	North	Columbia
BESC-65	North	Columbia
BESC-72	North	Columbia
GW-4579	North	nearNorth
GW-11011	North	nearNorth
GW-11012	North	nearNorth
GW-11014	North	nearNorth
GW-11015	North	nearNorth
GW-11016	North	nearNorth
GW-11053	North	nearNorth
GW-9577	North	nearNorth
GW-9578	North	nearNorth
GW-9579	North	nearNorth
GW-9580	North	nearNorth
GW-9581	North	nearNorth
GW-9582	North	nearNorth
GW-9583	North	nearNorth
GW-9598	North	nearNorth
GW-9756	North	farNorth
GW-9757	North	farNorth
GW-9758	North	farNorth
GW-9761	North	farNorth
GW-9762	North	farNorth
GW-9763	North	farNorth
GW-9764	North	farNorth
GW-9765	North	farNorth
GW-9766	North	farNorth
GW-9767	North	farNorth
GW-9768	North	farNorth
GW-9769	North	farNorth
GW-9770	North	farNorth
GW-9771	North	farNorth
GW-9772	North	farNorth
GW-9773	North	farNorth
GW-9774	North	farNorth
GW-9775	North	farNorth
GW-9776	North	farNorth
GW-9777	North	farNorth
GW-9778	North	farNorth
GW-9779	North	farNorth
GW-9780	North	farNorth
GW-9781	North	farNorth
GW-9782	North	farNorth
GW-9783	North	farNorth
GW-9784	North	farNorth
GW-9785	North	farNorth
GW-9786	North	farNorth
GW-9787	North	farNorth
GW-9788	North	farNorth
GW-9789	North	farNorth
GW-9791	North	farNorth
GW-9585	North	nearNorth
GW-9587	North	nearNorth
GW-9588	North	nearNorth
GW-9589	North	nearNorth
GW-9591	North	nearNorth
BESC-141	North	nearNorth
BESC-142	North	nearNorth
BESC-143	North	nearNorth
BESC-144	North	nearNorth
BESC-145	North	nearNorth
BESC-146	North	nearNorth
BESC-147	North	nearNorth
BESC-148	North	nearNorth
BESC-149	North	nearNorth
BESC-150	North	nearNorth
BESC-151	North	nearNorth
BESC-152	North	nearNorth
BESC-153	North	nearNorth
BESC-154	North	nearNorth
BESC-155	North	nearNorth
BESC-156	North	nearNorth
BESC-157	North	nearNorth
BESC-158	North	nearNorth
BESC-159	North	nearNorth
BESC-160	North	nearNorth
BESC-161	North	nearNorth
BESC-162	North	nearNorth
BESC-163	North	nearNorth
BESC-164	North	nearNorth
BESC-165	North	nearNorth
BESC-166	North	nearNorth
BESC-167	North	nearNorth
BESC-169	North	nearNorth
BESC-170	North	nearNorth
BESC-171	North	nearNorth
BESC-172	North	nearNorth
BESC-173	North	nearNorth
BESC-174	North	nearNorth
BESC-175	North	nearNorth
BESC-176	North	nearNorth
BESC-177	North	nearNorth
BESC-178	North	nearNorth
BESC-179	North	nearNorth
BESC-180	North	nearNorth
BESC-181	North	nearNorth
BESC-182	North	nearNorth
BESC-183	North	nearNorth
BESC-184	North	nearNorth
BESC-185	North	nearNorth
BESC-186	North	nearNorth
BESC-187	North	nearNorth
BESC-188	North	nearNorth
BESC-189	North	nearNorth
BESC-190	North	nearNorth
BESC-191	North	nearNorth
BESC-192	North	nearNorth
BESC-193	North	nearNorth
BESC-195	North	nearNorth
BESC-196	North	nearNorth
BESC-197	North	nearNorth
BESC-198	North	nearNorth
BESC-199	North	nearNorth
BESC-200	North	nearNorth
BESC-201	North	nearNorth
BESC-202	North	nearNorth
BESC-203	North	nearNorth
BESC-204	North	nearNorth
BESC-205	North	nearNorth
BESC-206	North	nearNorth
BESC-207	North	nearNorth
BESC-208	North	nearNorth
BESC-209	North	nearNorth
BESC-210	North	nearNorth
BESC-211	North	nearNorth
BESC-212	North	nearNorth
BESC-213	North	nearNorth
BESC-214	North	nearNorth
BESC-215	North	nearNorth
BESC-216	North	nearNorth
BESC-217	North	nearNorth
BESC-218	North	nearNorth
BESC-220	North	nearNorth
BESC-222	North	nearNorth
BESC-223	North	nearNorth
BESC-224	North	nearNorth
BESC-225	North	nearNorth
BESC-226	North	nearNorth
BESC-227	North	nearNorth
BESC-228	North	nearNorth
BESC-229	North	nearNorth
BESC-230	North	nearNorth
BESC-231	North	nearNorth
BESC-232	North	nearNorth
BESC-233	North	nearNorth
BESC-234	North	nearNorth
BESC-235	North	nearNorth
BESC-236	North	nearNorth
BESC-237	North	nearNorth
BESC-238	North	nearNorth
BESC-239	North	nearNorth
BESC-240	North	nearNorth
BESC-241	North	nearNorth
BESC-242	North	nearNorth
BESC-243	North	nearNorth
BESC-245	North	nearNorth
BESC-246	North	nearNorth
BESC-247	North	nearNorth
BESC-248	North	nearNorth
BESC-801	North	nearNorth
BESC-802	North	nearNorth
BESC-803	North	nearNorth
BESC-804	North	nearNorth
BESC-805	North	nearNorth
BESC-806	North	nearNorth
BESC-807	North	nearNorth
BESC-808	North	nearNorth
BESC-809	North	nearNorth
BESC-810	North	nearNorth
BESC-811	North	nearNorth
BESC-812	North	nearNorth
BESC-813	North	nearNorth
BESC-814	North	nearNorth
BESC-815	North	nearNorth
BESC-816	North	nearNorth
BESC-817	North	nearNorth
BESC-818	North	nearNorth
BESC-819	North	nearNorth
BESC-820	North	nearNorth
BESC-821	North	nearNorth
BESC-822	North	nearNorth
BESC-823	North	nearNorth
BESC-824	North	nearNorth
BESC-825	North	nearNorth
BESC-826	North	nearNorth
BESC-827	North	nearNorth
BESC-828	North	nearNorth
BESC-829	North	nearNorth
BESC-830	North	nearNorth
BESC-831	North	nearNorth
BESC-832	North	nearNorth
BESC-833	North	nearNorth
BESC-834	North	nearNorth
BESC-835	North	nearNorth
BESC-836	North	nearNorth
BESC-837	North	nearNorth
BESC-838	North	nearNorth
BESC-839	North	nearNorth
BESC-840	North	nearNorth
BESC-841	North	nearNorth
BESC-842	North	nearNorth
BESC-843	North	nearNorth
BESC-844	North	nearNorth
BESC-845	North	nearNorth
BESC-846	North	nearNorth
BESC-847	North	nearNorth
BESC-848	North	nearNorth
BESC-849	North	nearNorth
BESC-850	North	nearNorth
BESC-851	North	nearNorth
GW-9887	North	nearNorth
GW-9888	North	nearNorth
GW-9889	North	nearNorth
GW-9890	North	nearNorth
GW-9891	North	nearNorth
GW-9892	North	nearNorth
GW-9893	North	nearNorth
GW-9894	North	nearNorth
GW-9895	North	nearNorth
GW-9896	North	nearNorth
GW-9898	North	nearNorth
GW-9899	North	nearNorth
GW-9900	North	nearNorth
GW-9901	North	nearNorth
GW-9902	North	nearNorth
GW-9903	North	nearNorth
GW-9904	North	nearNorth
GW-9905	North	nearNorth
GW-9907	North	nearNorth
GW-9909	North	nearNorth
GW-9910	North	nearNorth
GW-9911	North	nearNorth
GW-9912	North	nearNorth
GW-9914	North	nearNorth
GW-9915	North	nearNorth
GW-9916	North	nearNorth
GW-9917	North	nearNorth
GW-9918	North	nearNorth
GW-9919	North	nearNorth
GW-9920	North	nearNorth
GW-9921	North	nearNorth
GW-9922	North	nearNorth
BESC-331	North	nearNorth
BESC-332	North	nearNorth
BESC-333	North	nearNorth
BESC-334	North	nearNorth
BESC-335	North	nearNorth
BESC-336	North	nearNorth
BESC-337	North	nearNorth
BESC-338	North	nearNorth
BESC-339	North	nearNorth
BESC-340	North	nearNorth
BESC-341	North	nearNorth
BESC-342	North	nearNorth
BESC-344	North	nearNorth
BESC-345	North	nearNorth
BESC-346	North	nearNorth
BESC-347	North	nearNorth
BESC-348	North	nearNorth
BESC-349	North	nearNorth
BESC-350	North	nearNorth
BESC-351	North	nearNorth
BESC-352	North	nearNorth
BESC-353	North	nearNorth
BESC-354	North	nearNorth
BESC-355	North	nearNorth
BESC-356	North	nearNorth
BESC-357	North	nearNorth
BESC-358	North	nearNorth
BESC-359	North	nearNorth
BESC-360	North	nearNorth
BESC-361	North	nearNorth
BESC-362	North	nearNorth
BESC-363	North	nearNorth
BESC-364	North	nearNorth
BESC-365	North	nearNorth
BESC-366	North	nearNorth
BESC-367	North	nearNorth
BESC-368	North	nearNorth
BESC-369	North	nearNorth
BESC-370	North	nearNorth
BESC-371	North	nearNorth
BESC-372	North	nearNorth
BESC-373	North	nearNorth
BESC-374	North	nearNorth
BESC-375	North	nearNorth
BESC-376	North	nearNorth
BESC-377	North	nearNorth
BESC-378	North	nearNorth
BESC-380	North	nearNorth
BESC-381	North	nearNorth
BESC-382	North	nearNorth
BESC-383	North	nearNorth
BESC-384	North	nearNorth
BESC-385	North	nearNorth
BESC-386	North	nearNorth
BESC-387	North	nearNorth
BESC-388	North	nearNorth
BESC-389	North	nearNorth
BESC-390	North	nearNorth
BESC-391	North	nearNorth
BESC-392	North	nearNorth
BESC-393	North	nearNorth
BESC-394	North	nearNorth
BESC-395	North	nearNorth
BESC-396	North	nearNorth
BESC-397	North	nearNorth
BESC-398	North	nearNorth
BESC-399	North	nearNorth
BESC-400	North	nearNorth
BESC-401	North	nearNorth
BESC-402	North	nearNorth
BESC-403	North	nearNorth
BESC-404	North	nearNorth
BESC-405	North	nearNorth
BESC-406	North	nearNorth
BESC-407	North	nearNorth
BESC-408	North	nearNorth
BESC-409	North	nearNorth
BESC-410	North	nearNorth
BESC-411	North	nearNorth
BESC-412	North	nearNorth
BESC-413	North	nearNorth
BESC-414	North	nearNorth
BESC-415	North	nearNorth
BESC-416	North	nearNorth
BESC-417	North	nearNorth
BESC-419	North	nearNorth
BESC-421	North	nearNorth
BESC-422	North	nearNorth
BESC-423	North	nearNorth
BESC-424	North	nearNorth
BESC-425	North	nearNorth
BESC-426	North	nearNorth
BESC-427	North	nearNorth
BESC-428	North	nearNorth
BESC-429	North	nearNorth
BESC-430	North	nearNorth
BESC-431	North	nearNorth
BESC-432	North	nearNorth
BESC-433	North	nearNorth
BESC-435	North	nearNorth
BESC-436	North	nearNorth
BESC-437	North	nearNorth
BESC-438	North	nearNorth
BESC-439	North	nearNorth
BESC-440	North	nearNorth
BESC-441	North	nearNorth
BESC-442	North	nearNorth
BESC-443	North	nearNorth
BESC-444	North	nearNorth
BESC-445	North	nearNorth
BESC-446	North	nearNorth
BESC-447	North	nearNorth
BESC-448	North	nearNorth
BESC-449	North	nearNorth
BESC-450	North	nearNorth
BESC-451	North	nearNorth
BESC-452	North	nearNorth
BESC-453	North	nearNorth
BESC-454	North	nearNorth
BESC-455	North	nearNorth
BESC-456	North	nearNorth
BESC-457	North	nearNorth
BESC-458	North	nearNorth
BESC-459	North	nearNorth
BESC-460	North	nearNorth
BESC-461	North	nearNorth
BESC-462	North	nearNorth
BESC-463	North	nearNorth
BESC-464	North	nearNorth
BESC-465	North	nearNorth
BESC-466	North	nearNorth
BESC-467	North	nearNorth
BESC-468	North	nearNorth
BESC-469	North	nearNorth
BESC-470	North	nearNorth
GW-10982	North	nearNorth
GW-10983	North	nearNorth
GW-10984	North	nearNorth
GW-10985	North	nearNorth
GW-10986	North	nearNorth
GW-10987	North	nearNorth
GW-10989	North	nearNorth
GW-10992	North	nearNorth
GW-10993	North	nearNorth
GW-10995	North	nearNorth
GW-10997	North	nearNorth
GW-10998	North	nearNorth
GW-10999	North	nearNorth
GW-11001	North	nearNorth
GW-11018	North	nearNorth
GW-11019	North	nearNorth
GW-11021	North	nearNorth
GW-11022	North	nearNorth
GW-11024	North	nearNorth
GW-11025	North	nearNorth
GW-11026	North	nearNorth
GW-11027	North	nearNorth
GW-9792	North	nearNorth
GW-9793	North	nearNorth
GW-9794	North	nearNorth
GW-9795	North	nearNorth
GW-9796	North	nearNorth
GW-9797	North	nearNorth
GW-9798	North	nearNorth
GW-9799	North	nearNorth
GW-9801	North	nearNorth
GW-9802	North	nearNorth
GW-9803	North	nearNorth
GW-9804	North	nearNorth
GW-9805	North	nearNorth
GW-9806	North	nearNorth
GW-9807	North	nearNorth
GW-9809	North	nearNorth
GW-9810	North	nearNorth
GW-9811	North	nearNorth
GW-9812	North	nearNorth
GW-9813	North	nearNorth
GW-9814	North	nearNorth
GW-9815	North	nearNorth
BESC-249	North	nearNorth
BESC-250	North	nearNorth
BESC-251	North	nearNorth
BESC-252	North	nearNorth
BESC-253	North	nearNorth
BESC-254	North	nearNorth
BESC-255	North	nearNorth
BESC-256	North	nearNorth
BESC-257	North	nearNorth
BESC-259	North	nearNorth
BESC-260	North	nearNorth
BESC-261	North	nearNorth
BESC-262	North	nearNorth
BESC-263	North	nearNorth
BESC-264	North	nearNorth
BESC-266	North	nearNorth
BESC-267	North	nearNorth
BESC-268	North	nearNorth
BESC-269	North	nearNorth
BESC-270	North	nearNorth
BESC-271	North	nearNorth
BESC-272	North	nearNorth
BESC-273	North	nearNorth
BESC-274	North	nearNorth
BESC-275	North	nearNorth
BESC-276	North	nearNorth
BESC-277	North	nearNorth
BESC-278	North	nearNorth
BESC-279	North	nearNorth
BESC-280	North	nearNorth
BESC-281	North	nearNorth
BESC-282	North	nearNorth
BESC-283	North	nearNorth
BESC-284	North	nearNorth
BESC-285	North	nearNorth
BESC-286	North	nearNorth
BESC-287	North	nearNorth
BESC-288	North	nearNorth
BESC-289	North	nearNorth
BESC-290	North	nearNorth
BESC-291	North	nearNorth
BESC-292	North	nearNorth
BESC-293	North	nearNorth
BESC-294	North	nearNorth
BESC-295	North	nearNorth
BESC-296	North	nearNorth
BESC-297	North	nearNorth
BESC-298	North	nearNorth
BESC-299	North	nearNorth
BESC-300	North	nearNorth
BESC-301	North	nearNorth
BESC-302	North	nearNorth
BESC-303	North	nearNorth
BESC-304	North	nearNorth
BESC-305	North	nearNorth
BESC-306	North	nearNorth
BESC-307	North	nearNorth
BESC-308	North	nearNorth
BESC-309	North	nearNorth
BESC-310	North	nearNorth
BESC-311	North	nearNorth
BESC-312	North	nearNorth
BESC-314	North	nearNorth
BESC-315	North	nearNorth
BESC-316	North	nearNorth
BESC-317	North	nearNorth
BESC-318	North	nearNorth
BESC-319	North	nearNorth
BESC-320	North	nearNorth
BESC-321	North	nearNorth
BESC-322	North	nearNorth
BESC-323	North	nearNorth
BESC-324	North	nearNorth
BESC-325	North	nearNorth
BESC-327	North	nearNorth
BESC-328	North	nearNorth
BESC-329	North	nearNorth
BESC-330	North	nearNorth
BESC-852	North	nearNorth
BESC-853	North	nearNorth
BESC-854	North	nearNorth
BESC-855	North	nearNorth
BESC-856	North	nearNorth
BESC-857	North	nearNorth
BESC-858	North	nearNorth
BESC-859	North	nearNorth
BESC-860	North	nearNorth
BESC-861	North	nearNorth
BESC-862	North	nearNorth
BESC-863	North	nearNorth
BESC-864	North	nearNorth
BESC-865	North	nearNorth
BESC-866	North	nearNorth
BESC-867	North	nearNorth
BESC-868	North	nearNorth
BESC-869	North	nearNorth
BESC-870	North	nearNorth
BESC-871	North	nearNorth
BESC-872	North	nearNorth
BESC-873	North	nearNorth
BESC-874	North	nearNorth
BESC-875	North	nearNorth
BESC-876	North	nearNorth
BESC-877	North	nearNorth
BESC-878	North	nearNorth
BESC-879	North	nearNorth
BESC-880	North	nearNorth
BESC-881	North	nearNorth
BESC-882	North	nearNorth
BESC-883	North	nearNorth
BESC-884	North	nearNorth
BESC-885	North	nearNorth
BESC-886	North	nearNorth
BESC-887	North	nearNorth
BESC-888	North	nearNorth
BESC-889	North	nearNorth
BESC-890	North	nearNorth
BESC-891	North	nearNorth
BESC-893	North	nearNorth
BESC-894	North	nearNorth
BESC-895	North	nearNorth
BESC-896	North	nearNorth
BESC-897	North	nearNorth
BESC-898	North	nearNorth
BESC-899	North	nearNorth
BESC-900	North	nearNorth
BESC-901	North	nearNorth
BESC-902	North	nearNorth
BESC-903	North	nearNorth
BESC-904	North	nearNorth
BESC-905	North	nearNorth
BESC-906	North	nearNorth
BESC-907	North	nearNorth
BESC-908	North	nearNorth
BESC-909	North	nearNorth
BESC-910	North	nearNorth
BESC-911	North	nearNorth
GW-9828	North	nearNorth
GW-9829	North	nearNorth
GW-9830	North	nearNorth
GW-9831	North	nearNorth
GW-9832	North	nearNorth
GW-9833	North	nearNorth
GW-9834	North	nearNorth
GW-9835	North	nearNorth
GW-9836	North	nearNorth
GW-9837	North	nearNorth
GW-9838	North	nearNorth
GW-9839	North	nearNorth
GW-9840	North	nearNorth
GW-9841	North	nearNorth
GW-9842	North	nearNorth
GW-9843	North	nearNorth
GW-9844	North	nearNorth
GW-9845	North	nearNorth
GW-9846	North	nearNorth
GW-9847	North	nearNorth
GW-9848	North	nearNorth
GW-9849	North	nearNorth
GW-9850	North	nearNorth
GW-9851	North	nearNorth
GW-9852	North	nearNorth
GW-9853	North	nearNorth
GW-9854	North	nearNorth
GW-9855	North	nearNorth
GW-9856	North	nearNorth
GW-9857	North	nearNorth
GW-9858	North	nearNorth
GW-9860	North	nearNorth
GW-9861	North	nearNorth
GW-9862	North	nearNorth
GW-9863	North	nearNorth
GW-9865	North	nearNorth
GW-9866	North	nearNorth
GW-9867	North	nearNorth
GW-9868	North	nearNorth
GW-9869	North	nearNorth
GW-9870	North	nearNorth
GW-9871	North	nearNorth
GW-9872	North	nearNorth
GW-9873	North	nearNorth
GW-9874	North	nearNorth
GW-9875	North	nearNorth
GW-9876	North	nearNorth
GW-9877	North	nearNorth
GW-9878	North	nearNorth
GW-9879	North	nearNorth
GW-9880	North	nearNorth
GW-9882	North	nearNorth
GW-9883	North	nearNorth
GW-9884	North	nearNorth
GW-9885	North	nearNorth
GW-9886	North	nearNorth
BESC-1039	South	farSouth
BESC-1040	South	farSouth
BESC-1041	South	farSouth
BESC-1042	South	farSouth
BESC-1043	South	farSouth
BESC-1044	South	farSouth
BESC-1045	South	farSouth
BESC-1046	South	farSouth
BESC-1075	South	farSouth
BESC-1076	South	farSouth
BESC-1105	South	farSouth
BESC-1106	South	farSouth
BESC-1107	South	farSouth
BESC-1108	South	farSouth
BESC-1109	South	farSouth
BESC-1110	South	farSouth
BESC-1111	South	farSouth
BESC-1112	South	farSouth
BESC-1050	South	farSouth
BESC-1051	South	farSouth
BESC-1113	South	farSouth
BESC-1114	South	farSouth
BESC-1115	South	farSouth
BESC-1116	South	farSouth
BESC-1117	South	farSouth
BESC-1118	South	farSouth
BESC-1119	South	farSouth
BESC-1120	South	farSouth
BESC-1121	South	farSouth
BESC-1122	South	farSouth
BESC-1123	South	farSouth
BESC-1124	South	farSouth
BESC-1125	South	farSouth
BESC-1126	South	farSouth
BESC-1127	South	farSouth
BESC-1129	South	farSouth
BESC-1052	South	farSouth
BESC-1053	South	farSouth
BESC-1078	South	farSouth
BESC-1079	South	farSouth
BESC-1080	South	farSouth
BESC-1081	South	farSouth
BESC-1082	South	farSouth
BESC-1083	South	farSouth
BESC-1084	South	farSouth
BESC-1085	South	farSouth
BESC-1086	South	farSouth
BESC-1087	South	farSouth
BESC-1088	South	farSouth
BESC-1048	South	farSouth
BESC-1140	South	farSouth
BESC-1141	South	farSouth
BESC-1142	South	farSouth
BESC-1143	South	farSouth
BESC-1144	South	farSouth
BESC-1145	South	farSouth
BESC-1146	South	farSouth
BESC-1147	South	farSouth
BESC-1149	South	farSouth
BESC-1054	South	farSouth
BESC-1047	South	farSouth
BESC-1104	South	farSouth
BESC-1049	South	farSouth
BESC-1077	South	farSouth
BESC-1089	South	farSouth
BESC-1018	South	farSouth
BESC-1019	South	farSouth
BESC-1020	South	farSouth
BESC-1021	South	farSouth
BESC-1022	South	farSouth
BESC-1023	South	farSouth
BESC-1024	South	farSouth
BESC-1025	South	farSouth
BESC-1026	South	farSouth
BESC-1027	South	farSouth
BESC-1028	South	farSouth
BESC-1029	South	farSouth
BESC-1030	South	farSouth
BESC-1031	South	farSouth
BESC-1032	South	farSouth
BESC-1033	South	farSouth
BESC-1034	South	farSouth
BESC-1035	South	farSouth
BESC-1036	South	farSouth
BESC-1037	South	farSouth
BESC-1038	South	farSouth
BESC-1059	South	farSouth
BESC-1060	South	farSouth
BESC-1061	South	farSouth
BESC-1062	South	farSouth
BESC-1063	South	farSouth
BESC-1064	South	farSouth
BESC-1065	South	farSouth
BESC-1066	South	farSouth
BESC-1067	South	farSouth
BESC-1068	South	farSouth
BESC-1055	South	farSouth
BESC-1056	South	farSouth
BESC-1057	South	farSouth
BESC-1058	South	farSouth
CA-01-01	South	farSouth
CA-01-02	South	farSouth
CA-01-03	South	farSouth
CA-01-04	South	farSouth
CA-01-05	South	farSouth
CA-02-03	South	farSouth
CA-02-04	South	farSouth
CA-04-01	South	farSouth
CA-04-03	South	farSouth
CA-04-04	South	farSouth
CA-05-01	South	farSouth
CA-05-02	South	farSouth
CA-05-03	South	farSouth
BESC-1069	South	farSouth
BESC-1070	South	farSouth
BESC-1071	South	farSouth
BESC-1072	South	farSouth
BESC-1073	South	farSouth
BESC-1074	South	farSouth
BESC-1090	South	farSouth
BESC-1091	South	farSouth
BESC-1092	South	farSouth
BESC-1093	South	farSouth
BESC-1094	South	farSouth
BESC-1095	South	farSouth
BESC-1096	South	farSouth
BESC-1097	South	farSouth
BESC-1098	South	farSouth
BESC-1099	South	farSouth
BESC-1100	South	farSouth
BESC-1101	South	farSouth
BESC-1102	South	farSouth
BESC-1103	South	farSouth
BESC-1130	South	farSouth
BESC-1131	South	farSouth
BESC-1132	South	farSouth
BESC-1133	South	farSouth
BESC-1134	South	farSouth
BESC-1135	South	farSouth
BESC-1136	South	farSouth
BESC-1137	South	farSouth
BESC-1138	South	farSouth
BESC-1139	South	farSouth
HIRD-12-2	NA	farNorth
KTMA-12-2	NA	farNorth
KTMA-12-3	NA	farNorth
KTMB-12-1	NA	farNorth
KTMB-12-3	NA	farNorth
KTMC-12-1	NA	farNorth
KTMC-12-2	NA	farNorth
KTMC-12-5	NA	farNorth
DENA-17-1	NA	farNorth
DENA-17-2	NA	farNorth
DENA-17-3	NA	farNorth
DENA-17-4	NA	farNorth
DENB-17-1	NA	farNorth
DENB-17-2	NA	farNorth
DENB-17-3	NA	farNorth
DENB-17-5	NA	farNorth
DENC-17-1	NA	farNorth
DENC-17-2	NA	farNorth
DENC-17-3	NA	farNorth
DENC-17-4	NA	farNorth
DENC-17-5	NA	farNorth
DEND-17-1	NA	farNorth
DEND-17-2	NA	farNorth
DEND-17-4	NA	farNorth
DEND-17-5	NA	farNorth
KLNB-20-3	NA	farNorth
KLND-20-1	NA	farNorth
KLND-20-2	NA	farNorth
KLND-20-3	NA	farNorth
KLNE-20-3	NA	farNorth
KLNG-20-2	NA	farNorth
HOMD-21-4	NA	farNorth
LILC-26-2	NA	farNorth
GLCB-26-5	NA	farNorth
CMBF-28-5	NA	farNorth
